freq,r,cap,pth,rla,ima,gt,gr,ptt,xc,xxc,rc,ptt,tagrange,pt
860,1800,0.95,-20.5,2.816903487,176.0699417,6,2.341256581,0.00000891,194.9028994,-192.6442561,20.85940226,0.00000891,9.117887288,1
862,1800,0.95,-20.5,2.971962578,179.3587452,6,2.429667148,0.00000891,194.4506885,-192.2076097,20.76383446,0.00000891,10.08440019,1
864,1800,0.95,-20.5,3.145060155,182.8108782,6,2.519376061,0.00000891,194.0005711,-191.7729143,20.66891939,0.00000891,11.06730515,1
866,1800,0.95,-20.5,3.339715247,186.4447175,6,2.61037335,0.00000891,193.5525329,-191.3401574,20.57465118,0.00000891,11.95794522,1
868,1800,0.95,-20.5,3.560442053,190.2823275,6,2.70260798,0.00000891,193.1065593,-190.9093259,20.48102393,0.00000891,12.60775142,1
870,1800,0.95,-20.5,3.813122297,194.3505509,6,2.795971465,0.00000891,192.6626362,-190.4804073,20.3880319,0.00000891,12.88236883,1
872,1800,0.95,-20.5,4.105553814,198.682525,6,2.890274677,0.00000891,192.2207494,-190.053389,20.29566936,0.00000891,12.73777354,1
874,1800,0.95,-20.5,4.448278314,203.3198348,6,2.985216128,0.00000891,191.780885,-189.6282585,20.20393069,0.00000891,12.24716046,1
876,1800,0.95,-20.5,4.855864543,208.3156373,6,3.080337274,0.00000891,191.3430291,-189.2050035,20.11281027,0.00000891,11.54964575,1
878,1800,0.95,-20.5,5.34895928,213.7393118,6,3.174960744,0.00000891,190.907168,-188.7836118,20.02230261,0.00000891,10.77835336,1
880,1800,0.95,-20.5,5.957682831,219.6835813,6,3.268103589,0.00000891,190.473288,-188.3640712,19.93240222,0.00000891,10.02415696,1
882,1800,0.95,-20.5,6.727483945,226.2757745,6,3.358355538,0.00000891,190.0413758,-187.9463698,19.84310372,0.00000891,9.335649588,1
884,1800,0.95,-20.5,7.729729372,233.6963115,6,3.443708375,0.00000891,189.6114179,-187.5304956,19.75440176,0.00000891,8.732873749,1
886,1800,0.95,-20.5,9.081976162,242.2103716,6,3.521316195,0.00000891,189.1834012,-187.1164368,19.66629108,0.00000891,8.220459914,1
888,1800,0.95,-20.5,10.98954079,252.2248952,6,3.587161178,0.00000891,188.7573125,-186.7041818,19.57876643,0.00000891,7.796380631,1
890,1800,0.95,-20.5,13.83828,264.3971863,6,3.635591742,0.00000891,188.3331387,-186.2937186,19.49182264,0.00000891,7.457022415,1
892,1800,0.95,-20.5,18.42508144,279.8551568,6,3.658695661,0.00000891,187.9108671,-185.8850361,19.40545462,0.00000891,7.200094304,1
894,1800,0.95,-20.5,26.61577188,300.6698029,6,3.645477683,0.00000891,187.4904849,-185.4781227,19.31965732,0.00000891,7.026623472,1
896,1800,0.95,-20.5,43.60276924,330.8481289,6,3.580848646,0.00000891,187.0719793,-185.072967,19.2344257,0.00000891,6.943012489,1
898,1800,0.95,-20.5,87.70557508,376.9537248,6,3.443924745,0.00000891,186.6553379,-184.6695579,19.14975485,0.00000891,6.963689454,1
900,1800,0.95,-20.5,235.7845179,412.2085508,6,3.208808791,0.00000891,186.2405483,-184.2678843,19.06563989,0.00000891,7.118220899,1
902,1800,0.95,-20.5,359.6866543,116.8698876,6,2.840258696,0.00000891,185.8275981,-183.867935,18.98207596,0.00000891,7.459252267,1
904,1800,0.95,-20.5,124.1287916,51.04956696,6,2.29949312,0.00000891,185.4164751,-183.4696991,18.89905828,0.00000891,8.087679398,1
906,1800,0.95,-20.5,49.22296289,111.5067156,6,1.540677104,0.00000891,185.0071672,-183.0731658,18.81658211,0.00000891,9.171493171,1
908,1800,0.95,-20.5,25.92238733,152.4213882,6,0.510786016,0.00000891,184.5996624,-182.6783242,18.73464277,0.00000891,10.77444444,1
910,1800,0.95,-20.5,16.50559782,180.0359321,6,-0.846694846,0.00000891,184.1939489,-182.2851638,18.65323564,0.00000891,11.20993265,1
912,1800,0.95,-20.5,11.9970486,200.6539056,6,-2.588779054,0.00000891,183.7900148,-181.8936739,18.57235612,0.00000891,7.648051273,1
914,1800,0.95,-20.5,9.611357332,217.4296253,6,-4.82256686,0.00000891,183.3878484,-181.5038439,18.49199968,0.00000891,4.144172184,1
916,1800,0.95,-20.5,8.285298045,232.0028832,6,-7.738137667,0.00000891,182.9874383,-181.1156637,18.41216185,0.00000891,2.173732024,1
918,1800,0.95,-20.5,7.548949153,245.2995333,6,-11.77397818,0.00000891,182.5887728,-180.7291226,18.33283817,0.00000891,1.072351762,1
920,1800,0.95,-20.5,7.171556686,257.886422,6,-18.139207,0.00000891,182.1918407,-180.3442105,18.25402427,0.00000891,0.426317146,1
922,1800,0.95,-20.5,7.030908498,270.1380297,6,-24.21423126,0.00000891,181.7966307,-179.9609174,18.1757158,0.00000891,0.182005364,1
924,1800,0.95,-20.5,7.058885528,282.3206153,6,-16.80408347,0.00000891,181.4031315,-179.579233,18.09790846,0.00000891,0.37724624,1
926,1800,0.95,-20.5,7.216525823,294.6377739,6,-12.40846843,0.00000891,181.011332,-179.1991473,18.02059797,0.00000891,0.563939922,1
928,1800,0.95,-20.5,7.481744021,307.2568002,6,-9.73000305,0.00000891,180.6212214,-178.8206506,17.94378018,0.00000891,0.702398308,1
930,1800,0.95,-20.5,7.842950015,320.325009,6,-7.886040713,0.00000891,180.2327887,-178.4437329,17.86745089,0.00000891,0.803993902,1
932,1800,0.95,-20.5,8.295624468,333.9806255,6,-6.522107215,0.00000891,179.846023,-178.0683843,17.79160597,0.00000891,0.878704166,1
934,1800,0.95,-20.5,8.840482901,348.3607144,6,-5.465121933,0.00000891,179.4609138,-177.6945955,17.71624138,0.00000891,0.933654198,1
936,1800,0.95,-20.5,9.482561503,363.6075729,6,-4.618507538,0.00000891,179.0774503,-177.3223567,17.64135306,0.00000891,0.973870917,1
938,1800,0.95,-20.5,10.23089352,379.8744817,6,-3.92327487,0.00000891,178.695622,-176.9516583,17.56693702,0.00000891,1.002946978,1
940,1800,0.95,-20.5,11.09861913,397.3314504,6,-3.340996508,0.00000891,178.3154186,-176.582491,17.49298933,0.00000891,1.023494078,1
942,1800,0.95,-20.5,12.10347259,416.1714868,6,-2.845408156,0.00000891,177.9368296,-176.2148453,17.41950606,0.00000891,1.037442771,1
944,1800,0.95,-20.5,13.26866016,436.6179125,6,-2.41787825,0.00000891,177.5598448,-175.8487121,17.34648335,0.00000891,1.046242129,1
946,1800,0.95,-20.5,14.62420416,458.933326,6,-2.044789153,0.00000891,177.184454,-175.484082,17.27391736,0.00000891,1.050995033,1
948,1800,0.95,-20.5,16.20889834,483.4309786,6,-1.715937253,0.00000891,176.8106471,-175.1209459,17.20180431,0.00000891,1.052551738,1
950,1800,0.95,-20.5,18.07311567,510.4896048,6,-1.423505987,0.00000891,176.4384142,-174.7592949,17.13014047,0.00000891,1.051576411,1
952,1800,0.95,-20.5,20.28285305,540.5732001,6,-1.16136906,0.00000891,176.0677452,-174.3991197,17.05892209,0.00000891,1.048596738,1
954,1800,0.95,-20.5,22.92562811,574.2579371,6,-0.924753095,0.00000891,175.6986305,-174.0404117,16.98814554,0.00000891,1.044023169,1
956,1800,0.95,-20.5,26.11922686,612.269547,6,-0.726986151,0.00000891,175.3310601,-173.6831617,16.91780715,0.00000891,1.036135928,1
958,1800,0.95,-20.5,30.02496271,655.5363364,6,-0.516539805,0.00000891,174.9650245,-173.3273613,16.84790334,0.00000891,1.030984209,1
960,1800,0.95,-20.5,34.86828942,705.2661104,6,-0.337298975,0.00000891,174.600514,-172.9730014,16.77843053,0.00000891,1.02323884,1
